OrderYear,OrderMonth,City,CustomerID,CustomerName,Discount,记录数,OrderDate,OrderID,PostalCode,ProductCategory,ProductName,ProductSubCategory,Profit,Region,Sales,ShipDate,ShipMode,ShippingCost,State,UnitPrice
2010,4,Atlanta,2655,Benjamin Lam,0.09,1,2010/4/18,86063,30318,Furniture,"Global Leather Task Chair, Black",Chairs & Chairmats,223.416,South,511.25,2010/4/18,Delivery Truck,42,Georgia,89.99
2012,3,Atlanta,471,Ross Simpson,0.07,1,2012/3/2,40165,30318,Office Supplies,"Acco Six-Outlet Power Strip, 4' Cord Length",Appliances,-99.9761,South,471.92,2012/3/5,Regular Air,4.5,Georgia,8.62
2012,10,Atlanta,2655,Benjamin Lam,0.08,1,2012/10/3,86071,30318,Office Supplies,Xerox 1988,Paper,14.604,South,471.72,2012/10/5,Regular Air,19.99,Georgia,30.98
2012,4,Atlanta,1745,Herbert Holden,0.02,1,2012/4/26,25697,30305,Technology,"Imation 3.5"", RTS 247544 3M 3.5 DSDD, 10/Pack",Computer Peripherals,-49.875,South,452.46,2012/4/26,Regular Air,3.62,Georgia,8.46
2013,7,Atlanta,471,Ross Simpson,0,1,2013/7/18,18341,30318,Office Supplies,Xerox 196,Paper,-219.7958,South,335.49,2013/7/18,Regular Air,7.96,Georgia,5.78
2013,7,Atlanta,1745,Herbert Holden,0.03,1,2013/7/11,1793,30305,Office Supplies,GBC Standard Plastic Binding Systems' Combs,Binders and Binder Accessories,-95.62434,South,324.21,2013/7/11,Regular Air,5.36,Georgia,6.28
2012,12,Atlanta,1745,Herbert Holden,0.06,1,2012/12/31,3271,30305,Office Supplies,"REDIFORM Incoming/Outgoing Call Register, 11"" X 8 1/2"", 100 Messages",Paper,34.2638,South,292.2,2013/1/1,Express Air,1.43,Georgia,8.34
2013,1,Atlanta,1060,Gene Gilliam,0.1,1,2013/1/8,26818,30318,Office Supplies,"Angle-D Binders with Locking Rings, Label Holders",Binders and Binder Accessories,-215.72068,South,279.27,2013/1/9,Regular Air,7.72,Georgia,7.3
2011,12,Atlanta,2655,Benjamin Lam,0.02,1,2011/12/28,86067,30318,Office Supplies,GBC Standard Therm-A-Bind Covers,Binders and Binder Accessories,-16.2127,South,274.59,2011/12/29,Regular Air,12.98,Georgia,24.92
2010,2,Atlanta,1745,Herbert Holden,0.04,1,2010/2/14,13408,30305,Furniture,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",Office Furnishings,116.5063,South,256.77,2010/2/16,Regular Air,12.23,Georgia,60.65
2013,12,Atlanta,1745,Herbert Holden,0.1,1,2013/12/18,12256,30305,Office Supplies,Avery 49,Labels,29.8753,South,235.94,2013/12/20,Regular Air,0.5,Georgia,2.88
2011,2,Atlanta,1060,Gene Gilliam,0.05,1,2011/2/3,56931,30318,Technology,Bell Sonecor JB700 Caller ID,Telephones and Communication,-147.09002,South,232.42,2011/2/5,Regular Air,5.03,Georgia,7.99
2012,6,Atlanta,1060,Gene Gilliam,0.06,1,2012/6/11,58496,30318,Office Supplies,Xerox 1997,Paper,-164.8402,South,227.65,2012/6/13,Regular Air,10.05,Georgia,6.48
2013,1,Atlanta,1060,Gene Gilliam,0.05,1,2013/1/8,26818,30318,Office Supplies,GBC Standard Plastic Binding Systems Combs,Binders and Binder Accessories,-25.90973,South,220.48,2013/1/9,Regular Air,5.6,Georgia,8.85
2013,11,Atlanta,1060,Gene Gilliam,0.06,1,2013/11/30,57061,30318,Furniture,"Seth Thomas 13 1/2"" Wall Clock",Office Furnishings,31.3828,South,202.29,2013/12/2,Regular Air,5.03,Georgia,17.78
2012,4,Atlanta,471,Ross Simpson,0.04,1,2012/4/18,13634,30318,Office Supplies,Staples Brown Kraft Recycled Clasp Envelopes,Envelopes,-73.9613,South,168.2,2012/4/19,Regular Air,5.3,Georgia,5.58
2010,11,Atlanta,1060,Gene Gilliam,0.07,1,2010/11/30,57061,30318,Office Supplies,Avery 51,Labels,4.1674,South,121.87,2010/11/30,Regular Air,0.5,Georgia,6.3
2013,1,Atlanta,1060,Gene Gilliam,0.01,1,2013/1/8,26818,30318,Office Supplies,Staples 6 Outlet Surge,Appliances,-6.8628,South,94.07,2013/1/10,Express Air,4.98,Georgia,11.97
2011,1,Atlanta,1745,Herbert Holden,0.1,1,2011/1/2,54145,30305,Furniture,Eldon? Wave Desk Accessories,Office Furnishings,-176.9698,South,70.25,2011/1/2,Regular Air,5.33,Georgia,2.08
2010,1,Atlanta,1745,Herbert Holden,0.02,1,2010/1/9,18561,30305,Office Supplies,"Avery 05222 Permanent Self-Adhesive File Folder Labels for Typewriters, on Rolls, White, 250/Roll",Labels,-51.737,South,45.87,2010/1/10,Regular Air,6.89,Georgia,4.13
2013,5,Atlanta,1745,Herbert Holden,0,1,2013/5/12,52932,30305,Office Supplies,Xerox 21,Paper,-18.2476,South,34.97,2013/5/17,Regular Air,6.6,Georgia,6.48
2010,10,Atlanta,2655,Benjamin Lam,0.07,1,2010/10/8,86064,30318,Office Supplies,Prang Colored Pencils,Pens & Art Supplies,-93.9274,South,29.88,2010/10/9,Regular Air,0.81,Georgia,2.94
2011,5,Atlanta,2594,Lillian George,0.03,1,2011/5/15,87777,30318,Office Supplies,Acco? Hot Clips? Clips to Go,Rubber Bands,-39.802,South,20.77,2011/5/17,Regular Air,1.35,Georgia,3.29
2013,2,Atlanta,1745,Herbert Holden,0.1,1,2013/2/2,52322,30305,Office Supplies,Advantus Map Pennant Flags and Round Head Tacks,Rubber Bands,-3.1122,South,5.7,2013/2/9,Regular Air,2,Georgia,3.95
2010,2,Boston,1129,Pam Patton,0.07,1,2010/2/16,32037,02118,Technology,Canon Imageclass D680 Copier / Fax,Copiers and Fax,325.29,East,9862.51,2010/2/20,Regular Air,24.49,Massachusetts,699.99
2010,10,Boston,3011,Tammy Raynor,0.03,1,2010/10/28,7623,02113,Office Supplies,Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,Appliances,1282.496,East,9705.46,2010/10/30,Regular Air,24.49,Massachusetts,300.65
2010,4,Boston,102,Caroline Johnston,0.04,1,2010/4/6,42599,02129,Furniture,"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors",Bookcases,2023.75,East,9459.94,2010/4/7,Delivery Truck,54.92,Massachusetts,300.98
2012,3,Boston,3011,Tammy Raynor,0,1,2012/3/5,39878,02113,Furniture,"Iceberg OfficeWorks 42"" Round Tables",Tables,-375.3321,East,8583.39,2012/3/7,Delivery Truck,39.25,Massachusetts,150.98
2012,10,Boston,1129,Pam Patton,0.02,1,2012/10/7,59108,02118,Technology,M70,Telephones and Communication,777.7512,East,8323.56,2012/10/16,Regular Air,8.99,Massachusetts,125.99
2013,12,Boston,1413,Pamela Wiley,0.04,1,2013/12/2,13570,02113,Technology,LX 677,Telephones and Communication,1086.957,East,8155.51,2013/12/2,Regular Air,8.99,Massachusetts,110.99
2012,4,Boston,102,Caroline Johnston,0.09,1,2012/4/24,16710,02129,Technology,Panasonic KX-P1150 Dot Matrix Printer,Office Machines,1300.8,East,6258.27,2012/4/26,Delivery Truck,17.85,Massachusetts,145.45
2013,2,Boston,102,Caroline Johnston,0.03,1,2013/2/14,54053,02129,Technology,5125,Telephones and Communication,1185.408,East,5634.35,2013/2/15,Regular Air,8.08,Massachusetts,200.99
2010,10,Boston,3011,Tammy Raynor,0.1,1,2010/10/28,7623,02113,Office Supplies,Xerox 1941,Paper,1184.12,East,5582.63,2010/10/29,Regular Air,4.65,Massachusetts,104.85
2013,10,Boston,3011,Tammy Raynor,0.01,1,2013/10/20,612,02113,Technology,6190,Telephones and Communication,881.676,East,5297.63,2013/10/22,Regular Air,2.5,Massachusetts,65.99
2010,4,Boston,1217,Billy Perry Browning,0.09,1,2010/4/28,54595,02112,Furniture,"Office Star - Contemporary Task Swivel chair with 2-way adjustable arms, Plum",Chairs & Chairmats,-421.76,East,5258.94,2010/5/1,Delivery Truck,30,Massachusetts,130.98
2012,11,Boston,1413,Pamela Wiley,0.06,1,2012/11/24,12930,02113,Office Supplies,Belkin F5C206VTEL 6 Outlet Surge,Appliances,261.87,East,3911.34,2012/11/25,Regular Air,4.5,Massachusetts,22.98
2011,9,Boston,1413,Pamela Wiley,0.01,1,2011/9/6,5702,02113,Technology,US Robotics 56K V.92 External Faxmodem,Computer Peripherals,199.73,East,3670.9,2011/9/8,Regular Air,19.99,Massachusetts,99.99
2010,10,Boston,3011,Tammy Raynor,0.06,1,2010/10/28,7623,02113,Technology,US Robotics 56K V.92 Internal PCI Faxmodem,Computer Peripherals,17.2,East,3247.54,2010/10/30,Regular Air,19.99,Massachusetts,49.99
2012,6,Boston,1217,Billy Perry Browning,0.05,1,2012/6/12,54592,02112,Furniture,"Safco Value Mate Steel Bookcase, Baked Enamel Finish on Steel, Black",Bookcases,-15.29,East,3238.99,2012/6/16,Delivery Truck,26.85,Massachusetts,70.98
2011,12,Boston,1413,Pamela Wiley,0,1,2011/12/31,18530,02113,Technology,i1000,Telephones and Communication,286.362,East,2744.4,2012/1/2,Regular Air,5.99,Massachusetts,65.99
2012,7,Boston,1413,Pamela Wiley,0.04,1,2012/7/26,19041,02113,Office Supplies,Belkin F9M820V08 8 Outlet Surge,Appliances,530.22,East,2495.08,2012/8/4,Regular Air,4.62,Massachusetts,42.98
2012,12,Boston,1217,Billy Perry Browning,0.09,1,2012/12/21,15009,02112,Office Supplies,"Boston Electric Pencil Sharpener, Model 1818, Charcoal Black",Pens & Art Supplies,-7.8,East,2400.26,2012/12/23,Express Air,8.99,Massachusetts,28.15
2011,5,Boston,3011,Tammy Raynor,0.05,1,2011/5/6,4004,02113,Office Supplies,Panasonic KP-350BK Electric Pencil Sharpener with Auto Stop,Pens & Art Supplies,195.48,East,2199.64,2011/5/7,Regular Air,8.99,Massachusetts,34.58
2010,4,Boston,1413,Pamela Wiley,0,1,2010/4/7,10277,02113,Technology,g520,Telephones and Communication,542.25,East,2144.92,2010/4/8,Regular Air,5.26,Massachusetts,65.99
2012,3,Boston,1217,Billy Perry Browning,0.01,1,2012/3/22,49824,02112,Technology,3390,Telephones and Communication,440.199,East,2130.56,2012/3/23,Express Air,5.31,Massachusetts,65.99
2013,10,Boston,845,Maureen Bradley,0.04,1,2013/10/22,89371,02210,Office Supplies,Avanti 1.7 Cu. Ft. Refrigerator,Appliances,807.29,East,1923.81,2013/10/22,Delivery Truck,15.66,Massachusetts,100.98
2013,9,Boston,1413,Pamela Wiley,0.03,1,2013/9/30,39654,02113,Office Supplies,Trimflex? Flexible Post Binders,Binders and Binder Accessories,330.0295,East,1800.11,2013/10/1,Express Air,2.99,Massachusetts,21.38
2011,2,Boston,102,Caroline Johnston,0.02,1,2011/2/23,42528,02129,Office Supplies,Xerox 1880,Paper,47.65,East,1356.45,2011/2/25,Regular Air,19.99,Massachusetts,35.44
2010,6,Boston,1129,Pam Patton,0.03,1,2010/6/13,39430,02118,Technology,Logitech Internet Navigator Keyboard,Computer Peripherals,-144.2,East,1332.09,2010/6/17,Regular Air,6.5,Massachusetts,30.98
2010,6,Boston,102,Caroline Johnston,0.1,1,2010/6/22,3397,02129,Technology,Belkin 105-Key Black Keyboard,Computer Peripherals,-20.25,East,1233.32,2010/6/24,Regular Air,4,Massachusetts,19.98
2013,6,Boston,967,Brandon C Yates,0.04,1,2013/6/24,86179,02108,Office Supplies,Deluxe Rollaway Locking File with Drawer,Storage & Organization,-131.672,East,830.43,2013/6/26,Regular Air,11.37,Massachusetts,415.88
2013,2,Boston,102,Caroline Johnston,0.06,1,2013/2/14,54053,02129,Technology,Accessory6,Telephones and Communication,-230.34,East,821.79,2013/2/15,Express Air,5,Massachusetts,55.99
2013,12,Boston,656,Emma Hayes,0.08,1,2013/12/19,91218,02116,Furniture,"Deflect-o EconoMat Studded, No Bevel Mat for Low Pile Carpeting",Office Furnishings,190.4448,East,777.11,2013/12/19,Express Air,8.66,Massachusetts,41.32
2011,2,Boston,1129,Pam Patton,0.08,1,2011/2/20,14023,02118,Office Supplies,Acco D-Ring Binder w/DublLock?,Binders and Binder Accessories,241.077,East,711.1,2011/2/22,Regular Air,2.99,Massachusetts,21.38
2011,6,Boston,102,Caroline Johnston,0.09,1,2011/6/29,11779,02129,Technology,Micro Innovations 104 Keyboard,Computer Peripherals,-172.34,East,684.66,2011/6/30,Regular Air,6.5,Massachusetts,10.97
2011,2,Boston,1413,Pamela Wiley,0,1,2011/2/12,10080,02113,Technology,Fellowes 17-key keypad for PS/2 interface,Computer Peripherals,-26.83,East,637.04,2011/2/19,Regular Air,4,Massachusetts,30.73
2013,10,Boston,3011,Tammy Raynor,0.1,1,2013/10/20,612,02113,Office Supplies,Xerox 1928,Paper,-166.29,East,552.03,2013/10/22,Regular Air,6.26,Massachusetts,5.28
2011,2,Boston,1129,Pam Patton,0.03,1,2011/2/20,14023,02118,Office Supplies,Xerox 1948,Paper,40.61,East,498.16,2011/2/21,Regular Air,5.12,Massachusetts,9.99
2010,8,Boston,1413,Pamela Wiley,0.02,1,2010/8/2,45539,02113,Technology,Maxell DVD-RAM Discs,Computer Peripherals,69.61,East,484.56,2010/8/4,Express Air,1.99,Massachusetts,16.48
2013,9,Boston,3011,Tammy Raynor,0.03,1,2013/9/25,39972,02113,Office Supplies,Avery 48,Labels,108.49,East,474.83,2013/9/26,Regular Air,0.5,Massachusetts,6.3
2011,1,Boston,1413,Pamela Wiley,0.03,1,2011/1/14,37250,02113,Office Supplies,"Tyvek ? Top-Opening Peel & Seel ? Envelopes, Gray",Envelopes,51.244,East,473.46,2011/1/15,Regular Air,6.66,Massachusetts,35.94
2011,6,Boston,102,Caroline Johnston,0.04,1,2011/6/29,11779,02129,Office Supplies,"Adams Phone Message Book, 200 Message Capacity, 8 1/16” x 11”",Paper,86.6,East,470.11,2011/7/1,Regular Air,2,Massachusetts,6.88
2012,12,Boston,1217,Billy Perry Browning,0.08,1,2012/12/21,15009,02112,Office Supplies,Staples #10 Colored Envelopes,Envelopes,61.09,East,458.86,2012/12/22,Express Air,2.5,Massachusetts,7.78
2011,5,Boston,1217,Billy Perry Browning,0.01,1,2011/5/8,41350,02112,Office Supplies,Smead Adjustable Mobile File Trolley with Lockable Top,Storage & Organization,-259.01,East,423.3,2011/5/9,Regular Air,19.99,Massachusetts,419.19
2010,5,Boston,1129,Pam Patton,0.02,1,2010/5/21,13735,02118,Office Supplies,"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes",Envelopes,117.38,East,406.91,2010/5/23,Regular Air,1.39,Massachusetts,7.64
2011,2,Boston,102,Caroline Johnston,0.02,1,2011/2/23,42528,02129,Technology,"Memorex Slim 80 Minute CD-R, 10/Pack",Computer Peripherals,81.87,East,313.05,2011/2/24,Express Air,1.99,Massachusetts,9.78
2010,2,Boston,1129,Pam Patton,0.04,1,2010/2/16,32037,02118,Office Supplies,Avery Printable Repositionable Plastic Tabs,Binders and Binder Accessories,-63.8135,East,311.66,2010/2/23,Regular Air,6.19,Massachusetts,8.6
2013,9,Boston,3011,Tammy Raynor,0.01,1,2013/9/25,39972,02113,Office Supplies,Avery 501,Labels,62.73,East,292.58,2013/9/27,Regular Air,0.5,Massachusetts,3.69
2012,7,Boston,1129,Pam Patton,0.05,1,2012/7/18,12897,02118,Office Supplies,Xerox 216,Paper,-120.95,East,286.62,2012/7/19,Express Air,7.91,Massachusetts,6.48
2013,10,Boston,1217,Billy Perry Browning,0.09,1,2013/10/30,48706,02112,Office Supplies,"Array? Parchment Paper, Assorted Colors",Paper,-130.96,East,280.31,2013/11/6,Regular Air,11.15,Massachusetts,7.28
2012,6,Boston,1217,Billy Perry Browning,0.03,1,2012/6/12,54592,02112,Furniture,"Eldon? Image Series Desk Accessories, Burgundy",Office Furnishings,-133.77,East,254.36,2012/6/14,Regular Air,6.92,Massachusetts,4.18
2011,2,Boston,102,Caroline Johnston,0.02,1,2011/2/23,42528,02129,Office Supplies,Portfile? Personal File Boxes,Storage & Organization,-43.52,East,250.75,2011/2/24,Regular Air,9.47,Massachusetts,17.7
2013,4,Boston,1217,Billy Perry Browning,0.02,1,2013/4/28,54595,02112,Office Supplies,Acme? Elite Stainless Steel Scissors,"Scissors, Rulers and Trimmers",6.79,East,250.29,2013/4/30,Regular Air,2.64,Massachusetts,8.34
2011,1,Boston,1129,Pam Patton,0.03,1,2011/1/10,10247,02118,Technology,"Memorex Slim 80 Minute CD-R, 10/Pack",Computer Peripherals,17.656,East,231.95,2011/1/12,Regular Air,1.99,Massachusetts,9.78
2012,1,Boston,1413,Pamela Wiley,0.03,1,2012/1/9,43814,02113,Office Supplies,"Important Message Pads, 50 4-1/4 x 5-1/2 Forms per Pad",Paper,5.52,East,224.95,2012/1/10,Regular Air,2.26,Massachusetts,4.2
2012,1,Boston,1413,Pamela Wiley,0.09,1,2012/1/9,43814,02113,Office Supplies,"Wilson Jones 1"" Hanging DublLock? Ring Binders",Binders and Binder Accessories,-20.608,East,221.74,2012/1/10,Regular Air,2.99,Massachusetts,5.28
2013,9,Boston,3011,Tammy Raynor,0.05,1,2013/9/25,39972,02113,Office Supplies,Wilson Jones Standard D-Ring Binders,Binders and Binder Accessories,-7.36,East,204.34,2013/9/28,Regular Air,2.99,Massachusetts,5.06
2011,2,Boston,102,Caroline Johnston,0.02,1,2011/2/23,42528,02129,Office Supplies,Xerox 1996,Paper,-147.72,East,200.7,2011/2/24,Regular Air,9.17,Massachusetts,6.48
2012,7,Boston,1129,Pam Patton,0.03,1,2012/7/18,12897,02118,Office Supplies,Avery 487,Labels,59.92,East,192.28,2012/7/19,Regular Air,0.5,Massachusetts,3.69
2012,4,Boston,1129,Pam Patton,0.09,1,2012/4/12,26406,02118,Office Supplies,Storex DuraTech Recycled Plastic Frosted Binders,Binders and Binder Accessories,-134.297,East,188.39,2012/4/15,Regular Air,5.41,Massachusetts,4.24
2010,3,Boston,1129,Pam Patton,0.05,1,2010/3/29,49125,02118,Office Supplies,HP Office Recycled Paper (20Lb. and 87 Bright),Paper,-116.05,East,177.41,2010/3/31,Express Air,7.64,Massachusetts,5.78
2013,8,Boston,1413,Pamela Wiley,0.08,1,2013/8/2,45539,02113,Office Supplies,Avery Hi-Liter? Fluorescent Desk Style Markers,Pens & Art Supplies,13.82,East,174.66,2013/8/4,Regular Air,0.85,Massachusetts,3.38
2011,3,Boston,102,Caroline Johnston,0.1,1,2011/3/9,48263,02129,Office Supplies,Xerox 1920,Paper,-124.72,East,164.22,2011/3/10,Regular Air,7.5,Massachusetts,5.98
2011,2,Boston,102,Caroline Johnston,0.01,1,2011/2/23,42528,02129,Office Supplies,OIC Bulk Pack Metal Binder Clips,Rubber Bands,56.73,East,161.28,2011/2/25,Regular Air,0.76,Massachusetts,3.49
2010,8,Boston,1047,Gayle Pearson,0,1,2010/8/27,89389,02109,Office Supplies,Xerox 1923,Paper,-40.0088,East,157.78,2010/8/29,Regular Air,5.66,Massachusetts,6.68
2013,2,Boston,1129,Pam Patton,0.06,1,2013/2/10,41604,02118,Office Supplies,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",Binders and Binder Accessories,-48.2195,East,138.24,2013/2/11,Regular Air,5.19,Massachusetts,6.37
2011,3,Boston,102,Caroline Johnston,0.07,1,2011/3/9,48263,02129,Office Supplies,"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 200/Messages",Paper,37.5,East,135.91,2011/3/10,Regular Air,1.21,Massachusetts,5.68
2012,10,Boston,1129,Pam Patton,0.09,1,2012/10/7,59108,02118,Office Supplies,Newell 342,Pens & Art Supplies,-71.964,East,133.8,2012/10/12,Regular Air,3.97,Massachusetts,3.28
2011,9,Boston,2511,Brad Teague,0.04,1,2011/9/1,87035,02111,Technology,5180,Telephones and Communication,-247.236,East,113.87,2011/9/6,Express Air,8.99,Massachusetts,65.99
2011,12,Boston,1413,Pamela Wiley,0.02,1,2011/12/31,18530,02113,Furniture,"Career Cubicle Clock, 8 1/4"", Black",Office Furnishings,48.85,East,112.26,2011/12/31,Regular Air,14.39,Massachusetts,20.28
2011,1,Boston,1129,Pam Patton,0.06,1,2011/1/10,10247,02118,Office Supplies,Xerox 1952,Paper,-85.328,East,111.66,2011/1/11,Regular Air,5.49,Massachusetts,4.98
2010,5,Boston,3011,Tammy Raynor,0.03,1,2010/5/28,56486,02113,Office Supplies,Xerox 1947,Paper,-23.5,East,107.08,2010/5/29,Regular Air,5.35,Massachusetts,5.98
2010,7,Boston,1129,Pam Patton,0.02,1,2010/7/26,57794,02118,Office Supplies,Xerox 1897,Paper,-46.92,East,105.5,2010/7/28,Regular Air,6.07,Massachusetts,4.98
2011,5,Boston,3011,Tammy Raynor,0.1,1,2011/5/6,4004,02113,Office Supplies,*Staples* Highlighting Markers,Pens & Art Supplies,8.66,East,90.74,2011/5/9,Regular Air,0.71,Massachusetts,4.84
2013,10,Boston,1217,Billy Perry Browning,0.09,1,2013/10/30,48706,02112,Office Supplies,OIC Thumb-Tacks,Rubber Bands,-2.81,East,65.74,2013/11/3,Regular Air,0.7,Massachusetts,1.14
2011,11,Boston,1855,Jerome Block,0.03,1,2011/11/6,86850,02110,Office Supplies,Letter or Legal Size Expandable Poly String Tie Envelopes,Envelopes,20.12,East,58.67,2011/11/6,Regular Air,6.35,Massachusetts,2.66
2011,5,Boston,1129,Pam Patton,0.07,1,2011/5/9,44615,02118,Office Supplies,Staples? General Use 3-Ring Binders,Binders and Binder Accessories,-10.258,East,53.6,2011/5/10,Regular Air,1.49,Massachusetts,1.88
2012,7,Boston,1413,Pamela Wiley,0.08,1,2012/7/26,19041,02113,Office Supplies,Belkin 6 Outlet Metallic Surge Strip,Appliances,-18.5,East,48.08,2012/7/30,Regular Air,4.5,Massachusetts,10.89
2010,6,Boston,102,Caroline Johnston,0.09,1,2010/6/22,3397,02129,Office Supplies,Avery Durable Binders,Binders and Binder Accessories,-3.381,East,47.31,2010/6/23,Regular Air,1.49,Massachusetts,2.88
2013,12,Boston,1413,Pamela Wiley,0.04,1,2013/12/2,13570,02113,Furniture,Document Clip Frames,Office Furnishings,-8.8,East,33.94,2013/12/3,Regular Air,0.96,Massachusetts,8.34
2010,5,Boston,2935,Shirley Riley,0.02,1,2010/5/11,87617,02215,Office Supplies,Durable Pressboard Binders,Binders and Binder Accessories,7.31,East,20.46,2010/5/15,Regular Air,1.49,Massachusetts,3.8
2012,3,Boston,1129,Pam Patton,0.03,1,2012/3/16,3266,02118,Office Supplies,Durable Pressboard Binders,Binders and Binder Accessories,-2.553,East,17.12,2012/3/20,Regular Air,1.49,Massachusetts,3.8
2013,2,Boston,1413,Pamela Wiley,0.07,1,2013/2/14,1537,02113,Office Supplies,Peel & Stick Add-On Corner Pockets,Binders and Binder Accessories,-20.2975,East,16.6,2013/2/14,Regular Air,6.05,Massachusetts,2.16
2010,10,Boston,975,Francis Evans,0.1,1,2010/10/4,87260,02108,Office Supplies,Hoover Replacement Belt for Commercial Guardsman Heavy-Duty Upright Vacuum,Appliances,-21.3192,East,8.8,2010/10/9,Regular Air,5,Massachusetts,2.22
2013,12,Centereach,1025,Patrick Hendrix,0.01,1,2013/12/1,89015,11720,Technology,Canon imageCLASS 2200 Advanced Copier,Copiers and Fax,6643.55328,East,18537.69,2013/12/4,Regular Air,24.49,New York,3499.99
2012,11,Centereach,1025,Patrick Hendrix,0.08,1,2012/11/8,89013,11720,Furniture,Global Commerce? Series High-Back Swivel/Tilt Chairs,Chairs & Chairmats,1010.9,East,5668.64,2012/11/9,Delivery Truck,69.55,New York,284.98
2013,12,Centereach,1025,Patrick Hendrix,0,1,2013/12/1,89015,11720,Furniture,"Global Leather Task Chair, Black",Chairs & Chairmats,-203.45472,East,1911.3,2013/12/2,Delivery Truck,42,New York,89.99
2013,2,Centereach,1003,Jessie Coble,0,1,2013/2/17,88435,11720,Technology,Canon S750 Color Inkjet Printer,Office Machines,968.8221,East,1404.09,2013/2/24,Delivery Truck,26.3,New York,120.97
